Player,Season,MPPG,Outcome
LeBron James,2008-09,37.704,Successful
LeBron James,2012-13,37.855,Successful
Kevin Durant,2013-14,38.543,Successful
Kevin Durant,2012-13,38.506,Successful
LeBron James,2009-10,39.026,Successful
Kevin Garnett,2003-04,39.402,Successful
Chris Paul,2008-09,38.487,Successful
Stephen Curry,2015-16,34.177,Successful
Chris Paul,2007-08,37.575,Successful
Dirk Nowitzki,2005-06,38.136,Successful
James Harden,2014-15,36.802,Successful
LeBron James,2005-06,42.544,Successful
Dirk Nowitzki,2006-07,36.154,Successful
Kevin Durant,2009-10,39.5,Successful
Kevin Garnett,2004-05,38.061,Successful
Chris Paul,2014-15,34.841,Successful
LeBron James,2013-14,37.688,Successful
Stephen Curry,2014-15,32.663,Successful
LeBron James,2010-11,38.772,Successful
Dirk Nowitzki,2004-05,38.718,Successful
Chauncey Billups,2005-06,36.111,Successful
James Harden,2017-18,35.431,Successful
Kobe Bryant,2005-06,40.963,Successful
James Harden,2018-19,36.756,Successful
LeBron James,2007-08,40.36,Successful
Dwight Howard,2008-09,35.709,Successful
James Harden,2016-17,36.383,Successful
Kevin Garnett,2005-06,38.908,Successful
Elton Brand,2005-06,39.228,Successful
Pau Gasol,2010-11,37.037,Successful
Dwyane Wade,2008-09,38.582,Successful
Shawn Marion,2005-06,40.284,Successful
Amar'e Stoudemire,2004-05,36.113,Successful
Amar'e Stoudemire,2007-08,33.886,Successful
Kevin Durant,2015-16,35.806,Successful
LeBron James,2011-12,37.516,Successful
Giannis Antetokounmpo,2018-19,32.75,Successful
Rudy Gobert,2018-19,31.815,Successful
Dwight Howard,2010-11,37.628,Successful
Dwyane Wade,2005-06,38.56,Successful
Rudy Gobert,2016-17,33.877,Successful
LeBron James,2004-05,42.35,Successful
Kevin Love,2013-14,36.325,Successful
Anthony Davis,2014-15,36.103,Successful
LeBron James,2017-18,36.902,Successful
Karl-Anthony Towns,2017-18,35.585,Successful
Russell Westbrook,2015-16,34.375,Successful
Pau Gasol,2008-09,37.025,Successful
Chris Paul,2010-11,36,Successful
Chris Paul,2012-13,33.357,Successful
Kobe Bryant,2007-08,38.927,Successful
Jimmy Butler,2016-17,36.961,Successful
Anthony Davis,2017-18,36.36,Successful
LeBron James,2006-07,40.897,Successful
Kawhi Leonard,2015-16,33.056,Successful
Gilbert Arenas,2005-06,42.3,Successful
LeBron James,2015-16,35.645,Successful
Kawhi Leonard,2016-17,33.432,Successful
Chauncey Billups,2007-08,32.333,Successful
Brandon Roy,2008-09,37.218,Successful
Peja Stojakovic,2003-04,40.296,Successful
Stephen Curry,2013-14,36.487,Successful
James Harden,2015-16,38.11,Successful
Dwight Howard,2009-10,34.671,Successful
Tim Duncan,2003-04,36.623,Successful
James Harden,2019-20,36.515,Successful
Derrick Rose,2010-11,37.358,Successful
Russell Westbrook,2016-17,34.593,Successful
Kobe Bryant,2006-07,40.779,Successful
Tim Duncan,2006-07,34.075,Successful
Dwyane Wade,2009-10,36.26,Successful
Kevin Garnett,2007-08,32.789,Successful
Dwight Howard,2007-08,37.659,Successful
LeBron James,2016-17,37.757,Successful
Dirk Nowitzki,2007-08,35.961,Successful
James Harden,2012-13,38.269,Successful
James Harden,2013-14,38.041,Successful
DeAndre Jordan,2014-15,34.39,Successful
Dwyane Wade,2010-11,37.145,Successful
Kobe Bryant,2008-09,36.098,Successful
Chris Paul,2011-12,36.35,Successful
Chris Paul,2015-16,32.703,Successful
Karl-Anthony Towns,2016-17,36.951,Successful
Stephen Curry,2016-17,33.392,Successful
Damian Lillard,2017-18,36.575,Successful
Steve Nash,2006-07,35.289,Successful
Shawn Marion,2004-05,38.84,Successful
Isaiah Thomas,2016-17,33.803,Successful
Giannis Antetokounmpo,2016-17,35.563,Successful
Steve Nash,2005-06,35.392,Successful
Paul Pierce,2007-08,35.925,Successful
Dirk Nowitzki,2009-10,37.519,Successful
Kevin Durant,2011-12,38.576,Successful
Blake Griffin,2013-14,35.788,Successful
Chris Paul,2013-14,35.016,Successful
Chauncey Billups,2004-05,35.825,Successful
Sam Cassell,2003-04,35.037,Successful
Damian Lillard,2018-19,35.475,Successful
Kevin Durant,2010-11,38.949,Successful
Kevin Durant,2016-17,33.387,Successful
Pau Gasol,2005-06,39.188,Successful
Shawn Marion,2006-07,37.625,Successful
Tracy McGrady,2004-05,40.795,Successful
Giannis Antetokounmpo,2017-18,36.747,Successful
Paul George,2018-19,36.896,Successful
Nikola Jokic,2018-19,31.3,Successful
DeAndre Jordan,2016-17,31.728,Successful
Richard Jefferson,2005-06,39.218,Successful
Kyle Lowry,2013-14,36.228,Successful
Stephon Marbury,2004-05,40.012,Successful
Allen Iverson,2007-08,41.756,Successful
Andrei Kirilenko,2003-04,37.115,Successful
Damian Lillard,2019-20,37.485,Successful
Kyle Lowry,2015-16,37.026,Successful
Paul Pierce,2010-11,34.675,Successful
Russell Westbrook,2012-13,34.89,Successful
Gilbert Arenas,2004-05,40.925,Successful
Elton Brand,2006-07,38.463,Successful
Kevin Durant,2018-19,34.641,Successful
Marc Gasol,2012-13,34.95,Successful
DeAndre Jordan,2015-16,33.74,Successful
Dirk Nowitzki,2003-04,37.857,Successful
Paul Pierce,2005-06,39.038,Successful
Gerald Wallace,2009-10,41.039,Successful
Chauncey Billups,2006-07,36.186,Successful
Kevin Love,2010-11,35.767,Successful
Yao Ming,2003-04,32.829,Successful
Chauncey Billups,2003-04,35.359,Successful
Luol Deng,2006-07,37.451,Successful
Deron Williams,2007-08,37.305,Successful
Jimmy Butler,2014-15,38.662,Successful
Stephen Curry,2012-13,38.244,Successful
Tim Duncan,2004-05,33.379,Successful
Joakim Noah,2013-14,35.25,Successful
Paul Pierce,2004-05,36.098,Successful
Amar'e Stoudemire,2006-07,32.793,Successful
LaMarcus Aldridge,2010-11,39.642,Successful
Ray Allen,2008-09,36.405,Successful
Giannis Antetokounmpo,2019-20,30.429,Successful
Anthony Davis,2019-20,34.371,Successful
Tim Duncan,2007-08,33.987,Successful
Manu Ginobili,2007-08,31.068,Successful
Draymond Green,2015-16,34.667,Successful
DeAndre Jordan,2013-14,35,Successful
Dirk Nowitzki,2010-11,34.301,Successful
Anthony Davis,2016-17,36.107,Successful
Pau Gasol,2009-10,36.969,Successful
Manu Ginobili,2004-05,29.635,Successful
Richard Jefferson,2003-04,38.207,Successful
Shaquille O'Neal,2004-05,34.137,Successful
Dwyane Wade,2004-05,38.623,Successful
LaMarcus Aldridge,2017-18,33.453,Successful
Kobe Bryant,2012-13,38.628,Successful
Tim Duncan,2009-10,31.256,Successful
Al Horford,2009-10,35.123,Successful
Steve Nash,2004-05,34.307,Successful
Dirk Nowitzki,2008-09,37.654,Successful
Dirk Nowitzki,2013-14,32.85,Successful
Deron Williams,2012-13,36.436,Successful
Gilbert Arenas,2006-07,39.757,Successful
Clint Capela,2018-19,33.567,Successful
Tim Duncan,2005-06,34.8,Successful
Paul George,2013-14,36.225,Successful
Nene Hilario,2009-10,33.598,Successful
Michael Redd,2005-06,39.125,Successful
Jason Terry,2006-07,35.136,Successful
Ray Allen,2004-05,39.282,Successful
Carmelo Anthony,2013-14,38.727,Successful
Kobe Bryant,2003-04,37.646,Successful
Kevin Garnett,2006-07,39.408,Successful
Rudy Gobert,2019-20,34.309,Successful
Nikola Jokic,2017-18,32.573,Successful
Yao Ming,2004-05,30.588,Successful
Amar'e Stoudemire,2009-10,34.61,Successful
Elton Brand,2004-05,37.049,Successful
Manu Ginobili,2006-07,27.467,Successful
Blake Griffin,2012-13,32.475,Successful
Allen Iverson,2005-06,43.097,Successful
Damian Lillard,2014-15,35.671,Successful
Yao Ming,2008-09,33.623,Successful
Chris Paul,2016-17,31.492,Successful
Russell Westbrook,2014-15,34.358,Successful
Vince Carter,2006-07,38.122,Successful
Steve Nash,2007-08,34.321,Successful
Zach Randolph,2010-11,36.32,Successful
Anthony Davis,2013-14,35.194,Successful
Kevin Durant,2017-18,34.191,Successful
Pau Gasol,2014-15,34.372,Successful
Gordon Hayward,2016-17,34.466,Successful
Kyrie Irving,2014-15,36.4,Successful
LeBron James,2014-15,36.13,Successful
Damian Lillard,2016-17,35.92,Successful
Donyell Marshall,2003-04,36.439,Successful
Chris Paul,2005-06,36,Successful
Karl-Anthony Towns,2018-19,33.052,Successful
Chris Bosh,2010-11,36.299,Successful
Kobe Bryant,2010-11,33.89,Successful
Tyson Chandler,2014-15,30.48,Successful
Goran Dragic,2013-14,35.105,Successful
Andre Drummond,2017-18,33.654,Successful
David Lee,2009-10,37.272,Successful
Paul Pierce,2008-09,37.469,Successful
Hassan Whiteside,2015-16,29.11,Successful
Deron Williams,2009-10,36.868,Successful
Carlos Boozer,2007-08,34.901,Successful
Jose Calderon,2007-08,30.293,Successful
Clint Capela,2017-18,27.486,Successful
Marc Gasol,2014-15,33.173,Successful
Kyle Lowry,2017-18,32.179,Successful
Kevin Martin,2006-07,35.225,Successful
Chris Paul,2017-18,31.845,Successful
Ben Wallace,2003-04,37.654,Successful
LaMarcus Aldridge,2015-16,30.554,Successful
Chauncey Billups,2008-09,35.304,Successful
Chris Bosh,2007-08,36.194,Successful
Tim Duncan,2008-09,33.653,Successful
Kirk Hinrich,2006-07,35.488,Successful
Al Horford,2010-11,35.117,Successful
Jason Kidd,2005-06,37.188,Successful
Kyle Lowry,2016-17,37.4,Successful
Paul Millsap,2015-16,32.679,Successful
Lamar Odom,2010-11,32.183,Successful
Nikola Vucevic,2018-19,31.375,Successful
Ben Wallace,2005-06,35.244,Successful
Russell Westbrook,2017-18,36.425,Successful
Ray Allen,2010-11,36.125,Successful
Tyson Chandler,2007-08,35.228,Successful
Mike Conley,2016-17,33.217,Successful
Andre Drummond,2018-19,33.506,Successful
Kevin Love,2011-12,39,Successful
Brad Miller,2003-04,36.403,Successful
James Posey,2003-04,29.89,Successful
Carlos Boozer,2006-07,34.554,Successful
Carlos Boozer,2009-10,34.269,Successful
Mike Conley,2012-13,34.463,Successful
Luol Deng,2010-11,39.122,Successful
DeMar DeRozan,2015-16,35.949,Successful
Andre Drummond,2013-14,32.333,Successful
Manu Ginobili,2010-11,30.325,Successful
Steve Nash,2009-10,32.84,Successful
Shaquille O'Neal,2003-04,36.776,Successful
Rajon Rondo,2008-09,33.025,Successful
Kemba Walker,2015-16,35.617,Successful
Chris Bosh,2005-06,39.3,Successful
Blake Griffin,2010-11,37.951,Successful
LeBron James,2019-20,34.567,Successful
Nikola Jokic,2019-20,32,Successful
Rashard Lewis,2007-08,37.975,Successful
Mo Williams,2008-09,34.988,Successful
Steven Adams,2017-18,32.724,Successful
Ray Allen,2007-08,35.945,Successful
Chris Bosh,2008-09,38.026,Successful
Elton Brand,2003-04,38.696,Successful
Stephen Curry,2018-19,33.783,Successful
Manu Ginobili,2009-10,28.667,Successful
George Hill,2012-13,34.474,Successful
Dwight Howard,2006-07,36.866,Successful
Nikola Jokic,2016-17,27.918,Successful
Lamar Odom,2007-08,37.935,Successful
Zach Randolph,2009-10,37.667,Successful
Michael Redd,2003-04,36.841,Successful
Isaiah Thomas,2015-16,32.244,Successful
Chris Bosh,2006-07,38.522,Successful
Chris Bosh,2009-10,36.086,Successful
DeMar DeRozan,2017-18,33.888,Successful
Tim Duncan,2014-15,28.922,Successful
Nene Hilario,2010-11,30.547,Successful
Serge Ibaka,2013-14,32.914,Successful
Andre Iguodala,2007-08,39.537,Successful
Damian Lillard,2013-14,35.817,Successful
Tony Parker,2005-06,33.938,Successful
Tony Parker,2006-07,32.455,Successful
Rajon Rondo,2009-10,36.58,Successful
Jason Terry,2005-06,34.975,Successful
Dwyane Wade,2012-13,34.652,Successful
LaMarcus Aldridge,2008-09,37.086,Successful
Ray Allen,2005-06,38.744,Successful
Carmelo Anthony,2012-13,37.045,Successful
Chauncey Billups,2009-10,34.11,Successful
Tyson Chandler,2011-12,33.242,Successful
